https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1646971200000,2022-03-11 04:00:00,BTC/USD,38724.13,40251.83,38318.6,39108.99,1020.14883188,39896990.4645066
1646917200000,2022-03-10 13:00:00,BTC/USD,39246.89,40285.23,38254.5,39933.32,1165.71723278,46550959.286118224
1646884800000,2022-03-10 04:00:00,BTC/USD,40790.0,40845.17,38254.5,38724.13,1469.42520497,56902212.66253492
1646830800000,2022-03-09 13:00:00,BTC/USD,41917.2,42590.58,38815.25,39246.89,1718.66524758,67452265.91859502
1646798400000,2022-03-09 04:00:00,BTC/USD,41230.39,42590.58,40569.15,40790.0,1804.91685922,73622558.6875838
1646744400000,2022-03-08 13:00:00,BTC/USD,38825.1,42536.48,38147.92,41917.2,1865.53127482,78197847.55288489
1646712000000,2022-03-08 04:00:00,BTC/USD,38685.62,41441.18,38011.86,41230.39,1474.26504507,60784522.77160368
1646658000000,2022-03-07 13:00:00,BTC/USD,38609.21,39551.51,37176.64,38825.1,1337.22686601,51917966.79552485
1646625600000,2022-03-07 04:00:00,BTC/USD,37885.04,39551.51,37176.64,38685.62,1204.27645412,46588181.27903376
1646571600000,2022-03-06 13:00:00,BTC/USD,38524.01,39360.0,37584.45,38609.21,850.37951975,32832481.457726896
1646539200000,2022-03-06 04:00:00,BTC/USD,39290.05,39652.46,37584.45,37885.04,927.39416824,35134365.15953913
1646485200000,2022-03-05 13:00:00,BTC/USD,39079.6,39695.51,38095.0,38524.01,584.85297921,22530882.019615833
1646452800000,2022-03-05 04:00:00,BTC/USD,39083.02,39695.51,38734.01,39290.05,490.63001048,19276877.643259726
1646398800000,2022-03-04 13:00:00,BTC/USD,41532.31,41830.37,38588.89,39079.6,1892.0293318,73939749.47501127
1646366400000,2022-03-04 04:00:00,BTC/USD,41449.63,41900.07,38588.89,39083.02,2239.56962479,87529144.43706006
1646312400000,2022-03-03 13:00:00,BTC/USD,43584.28,44136.36,40885.87,41532.31,1982.8666691,82353033.18972862
1646280000000,2022-03-03 04:00:00,BTC/USD,43331.62,44136.36,41073.25,41449.63,1671.92343015,69300607.56804834
1646226000000,2022-03-02 13:00:00,BTC/USD,44034.8,45303.0,42949.0,43584.28,1132.13903332,49343464.6271482
1646193600000,2022-03-02 04:00:00,BTC/USD,44346.16,45303.0,43252.96,43331.62,1252.2602332,54262464.56613378
1646139600000,2022-03-01 13:00:00,BTC/USD,44690.55,44979.18,43240.0,44034.8,2054.77580608,90481641.6655716
1646107200000,2022-03-01 04:00:00,BTC/USD,43174.08,44979.18,42871.08,44346.16,2445.18836948,108434714.6630992
